"","income","sex","eth","fedu","parocc"
"480",4252.45033262842,1,3,1,99
"481",10488.9547326284,1,4,9,107
"482",5858.01673262842,1,1,1,1010
"483",11834.2897326284,2,1,1,97
"484",8410.24623262842,1,1,1,1010
"485",5572.58273262842,2,1,1,108
"486",1134.38563262842,1,1,5,99
"487",3992.28773262842,1,1,1,1010
"488",1558.66763262842,1,1,1,99
"489",6901.63443262842,1,1,8,98
"490",3565.62513262842,1,1,1,1010
"491",7945.25213262842,1,3,8,97
"492",4413.00703262842,2,1,1,108
"493",7624.13933262842,1,3,8,57
"494",5475.01333262842,1,1,1,99
"495",13868.0067326284,1,3,5,38
"496",4112.40933262842,1,1,6,98
"497",11798.6107326284,1,1,7,98
"498",16008.7607326284,1,1,1,99
"499",4390.09633262842,1,1,1,1010
"500",13930.4457326284,1,3,6,102
"501",1625.56633262842,2,1,8,97
"502",7891.73353262842,2,1,1,109
"503",1737.06393262842,2,1,1,1010
"504",24677.0337326284,2,1,1,910
"505",1380.27153262842,2,1,1,105
"506",8456.52463262842,1,1,7,79
"507",6879.74483262842,2,3,1,59
"508",3012.59683262842,1,1,1,1010
"509",11241.9007326284,1,3,6,109
"510",845.08281262842,1,3,5,107
"511",7579.54023262842,1,1,6,109
"512",2191.97433262842,1,1,6,108
"513",7508.18133262842,2,1,1,98
"514",1169.62723262842,1,1,1,98
"515",4609.24283262842,1,1,8,99
"516",22615.0667326284,2,1,1,109
"517",2655.80433262842,1,1,1,1010
"518",4792.26723262842,1,1,1,1010
"519",18512.3617326284,2,3,1,107
"520",6411.04463262842,1,3,8,102
"521",3119.63473262842,1,1,1,1010
"522",6821.35613262842,2,1,1,107
"523",2860.96013262842,2,1,1,108
"524",2629.04513262842,2,1,1,1010
"525",9515.13883262842,1,1,1,1010
"526",7011.50503262842,1,1,1,1010
"527",26444.9397326284,2,1,8,97
"528",9961.12873262842,1,1,1,97
"529",10300.0817326284,1,1,12,210
"530",19130.6957326284,2,4,9,25
"531",577.48851262842,1,1,1,910
"532",4430.84683262842,1,1,1,1010
"533",4216.77113262842,1,1,1,109
"534",7228.56313262842,1,1,4,108
"535",1003.64553262842,1,1,4,99
"536",1220.56523262842,1,1,1,1010
"537",2272.25263262842,1,1,5,97
"538",3788.62053262842,1,2,11,57
"539",7891.73353262842,2,1,1,55
"540",3030.43643262842,1,1,3,1010
"541",1228.80543262842,1,1,7,59
"542",14164.0187326284,1,1,1,1010
"543",943.20073262842,1,1,1,99
"544",4101.44113262842,1,1,1,109
"545",496.92107262842,1,1,1,1010
"546",7051.96303262842,1,1,8,97
"547",577.48851262842,1,1,1,108
"548",4370.97723262842,1,1,1,109
"549",2629.04513262842,1,1,1,1010
"550",2474.10733262842,2,1,1,910
"551",4290.39663262842,1,3,1,99
"552",4279.21013262842,1,3,1,109
"553",9569.90833262842,1,1,1,1010
"554",8025.53043262842,1,1,1,107
"555",18123.3187326284,1,1,9,97
"556",24677.0337326284,1,1,1,910
"557",12722.4050659618,1,4,7,97
"558",6982.80483262842,1,3,11,96
"559",6428.88443262842,1,1,1,1010
